情報名,,スタッフマスタ,,,,,,,,,
スキーマ名,,,,,,,,,,,
エンティティ名,,staff_master,,,,,,,,,
エンティティ説明,,講師／インストラクターの情報を格納,,,,,,,,,
,,,,,,,,,,,
No.,項目名称,カラムID,PK,FK,"ＵＮ
制約",Null値,INDEX,データ型,桁,デフォルト値,カラム定義（説明）
1,スタッフID,staff_id,〇,,,,,VARCHAR,7,,SF + 5桁の数字連番
2,作成年月日時分秒,crt_time,,,,,,TIMESTAMP,-,,
3,更新年月日時分秒,upd_time,,,,,,TIMESTAMP,-,,
4,スタッフ名,staff_name,,,,,,VARCHAR,100,,
5,性別,staff_gender,,,,,,VARCHAR,10,,
6,年齢,staff_age,,,,,,TINYINT,-,,
7,資格,licence_skill,,,,,,VARCHAR,200,,
8,主担当,main_expertise,,,,,,VARCHAR,200,,
9,役割,staff_role,,,,,,VARCHAR,100,,先生、講師、インストラクター等
10,詳細,description,,,,,,VARCHAR,500,,
11,ステータス,status,,,,,,TINYINT,-,1,"1:有効
9:無効"
