情報名,,予約情報,,,,,,,,,
スキーマ名,,,,,,,,,,,
エンティティ名,,reseve_info,,,,,,,,,
エンティティ説明,,会員のレッスン予約情報を格納,,,,,,,,,
,,,,,,,,,,,
No.,項目名称,カラムID,PK,FK,"ＵＮ
制約",Null値,INDEX,データ型,桁,デフォルト値,カラム定義（説明）
1,予約ID,reserve_id,〇,,,,,VARCHAR,9,,R + 8桁数字連番
2,作成年月日時分秒,crt_time,,,,,,TIMESTAMP,-,,
3,更新年月日時分秒,upd_time,,,,,,TIMESTAMP,-,,
4,会員ID,member_id,,〇,,,,VARCHAR,8,,
5,セッションID,session_id,,〇,,,,VARCHAR,10,,
6,StripeID,stripe_id,,〇,,,,VARCHAR,255,,
7,プリペイド購入ID,prepaid_purchase_id,,〇,,,,VARCHAR,10,,
8,支払い方法,reserve_payment,,,,,,TINYINT,-,,"1:月謝
2:ポイント
3:回数券
4:現地払い"
9,予約種別,reserve_type ,,,,,,TINYINT,-,,"1:通常
2:体験"
10,予約チャネル,channel,,,,,,VARCHAR,30,,WEB/FRONT/PHONE
11,予約ステータス,reserve_status ,,,,,,TINYINT,-,,"1:予約確定
9:キャンセル済"
12,キャンセル日時,canceled_at,,,,,,DATE,-,,YYYY/MM/DD　HH:MM
13,キャンセル理由,cancel_reason,,,,,,VARCHAR,200,,
